1140 570
0 0 1
0 0 -1
1 1 1
1 1 -1
2 5 1
2 2 -1
3 6 1
3 3 -1
4 14 1
4 4 -1
5 2 1
5 5 -1
6 3 1
6 6 -1
7 7 1
7 7 -1
8 8 1
8 8 -1
9 15 1
9 9 -1
10 21 1
10 10 -1
11 20 1
11 11 -1
12 23 1
12 12 -1
13 13 1
13 13 -1
14 4 1
14 14 -1
15 9 1
15 15 -1
16 19 1
16 16 -1
17 18 1
17 17 -1
18 17 1
18 18 -1
19 16 1
19 19 -1
20 11 1
20 20 -1
21 10 1
21 21 -1
22 24 1
22 22 -1
23 12 1
23 23 -1
24 22 1
24 24 -1
25 52 1
25 25 -1
26 27 1
26 26 -1
27 26 1
27 27 -1
28 31 1
28 28 -1
29 33 1
29 29 -1
30 32 1
30 30 -1
31 28 1
31 31 -1
32 30 1
32 32 -1
33 29 1
33 33 -1
34 37 1
34 34 -1
35 47 1
35 35 -1
36 36 1
36 36 -1
37 34 1
37 37 -1
38 53 1
38 38 -1
39 39 1
39 39 -1
40 41 1
40 40 -1
41 40 1
41 41 -1
42 48 1
42 42 -1
43 45 1
43 43 -1
44 56 1
44 44 -1
45 43 1
45 45 -1
46 50 1
46 46 -1
47 35 1
47 47 -1
48 42 1
48 48 -1
49 55 1
49 49 -1
50 46 1
50 50 -1
51 51 1
51 51 -1
52 25 1
52 52 -1
53 38 1
53 53 -1
54 54 1
54 54 -1
55 49 1
55 55 -1
56 44 1
56 56 -1
57 57 1
57 57 -1
58 58 1
58 58 -1
59 63 1
59 59 -1
60 62 1
60 60 -1
61 61 1
61 61 -1
62 60 1
62 62 -1
63 59 1
63 63 -1
64 70 1
64 64 -1
65 65 1
65 65 -1
66 72 1
66 66 -1
67 76 1
67 67 -1
68 75 1
68 68 -1
69 79 1
69 69 -1
70 64 1
70 70 -1
71 71 1
71 71 -1
72 66 1
72 72 -1
73 78 1
73 73 -1
74 77 1
74 74 -1
75 68 1
75 75 -1
76 67 1
76 76 -1
77 74 1
77 77 -1
78 73 1
78 78 -1
79 69 1
79 79 -1
80 81 1
80 80 -1
81 80 1
81 81 -1
82 109 1
82 82 -1
83 83 1
83 83 -1
84 84 1
84 84 -1
85 85 1
85 85 -1
86 87 1
86 86 -1
87 86 1
87 87 -1
88 88 1
88 88 -1
89 90 1
89 89 -1
90 89 1
90 90 -1
91 99 1
91 91 -1
92 98 1
92 92 -1
93 108 1
93 93 -1
94 105 1
94 94 -1
95 110 1
95 95 -1
96 111 1
96 96 -1
97 104 1
97 97 -1
98 92 1
98 98 -1
99 91 1
99 99 -1
100 112 1
100 100 -1
101 107 1
101 101 -1
102 106 1
102 102 -1
103 113 1
103 103 -1
104 97 1
104 104 -1
105 94 1
105 105 -1
106 102 1
106 106 -1
107 101 1
107 107 -1
108 93 1
108 108 -1
109 82 1
109 109 -1
110 95 1
110 110 -1
111 96 1
111 111 -1
112 100 1
112 112 -1
113 103 1
113 113 -1
114 114 -1
114 120 1
115 115 -1
115 116 1
116 116 -1
116 117 1
117 117 -1
117 115 1
118 118 -1
118 122 1
119 119 -1
119 114 1
120 120 -1
120 119 1
121 121 -1
121 135 1
122 122 -1
122 128 1
123 123 -1
123 130 1
124 124 -1
124 123 1
125 125 -1
125 129 1
126 126 -1
126 141 1
127 127 -1
127 134 1
128 128 -1
128 118 1
129 129 -1
129 131 1
130 130 -1
130 124 1
131 131 -1
131 125 1
132 132 -1
132 121 1
133 133 -1
133 127 1
134 134 -1
134 133 1
135 135 -1
135 132 1
136 136 -1
136 142 1
137 137 -1
137 143 1
138 138 -1
138 144 1
139 139 -1
139 139 1
140 140 -1
140 138 1
141 141 -1
141 147 1
142 142 -1
142 146 1
143 143 -1
143 145 1
144 144 -1
144 140 1
145 145 -1
145 137 1
146 146 -1
146 136 1
147 147 -1
147 126 1
148 148 -1
148 148 1
149 149 -1
149 156 1
150 150 -1
150 166 1
151 151 -1
151 154 1
152 152 -1
152 169 1
153 153 -1
153 157 1
154 154 -1
154 161 1
155 155 -1
155 149 1
156 156 -1
156 155 1
157 157 -1
157 164 1
158 158 -1
158 167 1
159 159 -1
159 152 1
160 160 -1
160 158 1
161 161 -1
161 151 1
162 162 -1
162 162 1
163 163 -1
163 168 1
